State_Name,Year,Assembly_No,month,Constituency_No,Constituency_Name,Turnout_Percentage,Vote_Share_Percentage,Constituency_Type,Electors,N_Cand,Position,Sex,Party,Votes,Elected,Rel,Margin_Percentage,Runner,Runner_Party,Runner_Sex,Nota_Percentage,Last_Party,Last_Elected,Vote_Share_Change_pct,Turnout_Change_pct,Margin_Change_pct,Party_Change
Uttar_Pradesh,1967,4,2,77,KHURJA,52.82,32.34,SC,505893,5,1,Male,PSP,86416,R. CHARAN,HINDUISM,0.38,K.L. BAJMIKI,INC,M,nan,REP,B. P. MAURYA,1.96,0.9,-0.87,PSP
Uttar_Pradesh,1967,4,2,78,BULANDSHAHR,59.56,30.79,General,498160,6,1,Male,INC,91351,S.P. SINGH,HINDUISM,6.96,S.P. GAUTAM,RPI,M,nan,INC,KANHAIYA LAL BALMIKI,-13.97,7.39,-5.58,
Uttar_Pradesh,1967,4,2,79,HAPUR,65.96,44.14,General,514929,8,1,Male,IND,149943,P.V. SHASTRI,HINDUISM,14.15,B.P. MOURYA,RPI,M,nan,INC,SURENDRA PAL SINGH,12.01,8.06,7.34,IND
Uttar_Pradesh,1967,4,2,80,MEERUT,60.86,49.14,General,488752,4,1,Male,SSP,146172,M.S. BHARTI,HINDUISM,13.08,S. KHAN,INC,M,nan,INC,KAMLA CHAUDHRY,14.24,6.97,0.89,SSP
Uttar_Pradesh,1967,4,2,81,BAGHPAT,60.25,50.15,General,511368,6,1,Male,IND,154518,R.S. SHASTRI,HINDUISM,28.42,K.C. SHARMA,INC,M,nan,INC,SHAH NAWAZ KHAN,-2.75,-0.23,10.48,IND
Uttar_Pradesh,1967,4,2,82,MUZAFFARNAGAR,60.6,25.13,General,490868,8,1,Male,CPI,74755,L.A. KHAN,ISLAM,3.9,B. SWARUP,IND,M,nan,INC,KRISHAN CHANDRA SHARMA,-9.34,4.28,-2.01,CPI
Uttar_Pradesh,1967,4,2,83,KAIRANA,56.33,26.43,General,513381,14,1,Male,SSP,76415,G.A. KHAN,ISLAM,0.58,A.P. JAIN,INC,M,nan,INC,SUMAT PRASAD,-7.72,2.09,-7.52,SSP
Uttar_Pradesh,1967,4,2,84,SAHARANPUR,60.82,39.21,SC,506832,6,1,Male,INC,120891,S. LAL,HINDUISM,12.21,S. SINGH,SSP,M,nan,IND,YASHPAL SINGH,-9.17,-1.91,-7,INC
Uttar_Pradesh,1967,4,2,85,DEHRA DUN,65.28,49.83,General,465613,4,1,Male,IND,151465,K.Y. SINGH,HINDUISM,13.2,M. TYAGI,INC,M,nan,INC,SUNDER LAL,5.07,10.23,-10.89,IND
Uttar_Pradesh,1962,3,2,1,TEHRI GARHAWAL,0,nan,General,415051,1,1,Male,INC,0,MANABENDRA SHAH,HINDUISM,nan,,,,nan,,,nan,-100,nan,
Uttar_Pradesh,1962,3,2,2,GARHWAL,36.09,48.06,General,391864,6,1,Male,INC,67959,BHAKTA DARSHAN,HINDUISM,23.89,CHANDRA SINGH GARHWALI,IND,M,nan,,,-51.94,-63.91,-76.11,
Uttar_Pradesh,1962,3,2,3,ALMORA,26.29,48.82,General,401359,4,1,Male,INC,51507,JANG BAHADUR SINGH,HINDUISM,25.59,PRATAP SINGH,JS,M,nan,,,-51.18,-73.71,-74.41,
Uttar_Pradesh,1962,3,2,4,NAINI TAL,51.91,48.93,General,445295,6,1,Male,INC,113083,KRISHNA CHANDRA PANT ALIAS RAJA,HINDUISM,27.97,SYBIL KHAN,PSP,F,nan,,,-51.07,-48.09,-72.03,
Uttar_Pradesh,1962,3,2,5,BIJNOR,63.45,49.5,General,400418,6,1,Male,IND,125777,PRAKASH VIR SHASTRI,HINDUISM,19.36,ABDUL LATEEF,INC,M,nan,,,-50.5,-36.55,-80.64,
Uttar_Pradesh,1962,3,2,6,AMROHA,51.62,29.32,General,423038,9,1,Male,INC,64022,HIFZUL RAHMAN,ISLAM,7.87,HARDEV SAHAI,JS,M,nan,,,-70.68,-48.38,-92.13,
Uttar_Pradesh,1962,3,2,7,MARODABAD,57.58,29.24,General,410817,6,1,Male,REP,69171,MUZAFFAR,ISLAM,5.09,BRIJ BHUSAN SARAN BANSAL,JS,M,nan,,,-70.76,-42.42,-94.91,
Uttar_Pradesh,1962,3,2,8,RAMPUR,46.81,46.91,General,421922,7,1,Male,INC,92636,AHMAD MAHDI,ISLAM,22.12,SHANTI SHARAN,JS,M,nan,,,-53.09,-53.19,-77.88,
Uttar_Pradesh,1962,3,2,9,BISAULI,47.58,32.42,General,395128,5,1,Male,INC,60946,ANSAR HARVANI,ISLAM,9.13,MANOHAR SINGH YADAV,JS,M,nan,,,-67.58,-52.42,-90.87,
Uttar_Pradesh,1962,3,2,10,BUDAUN,52.57,32.25,General,404385,5,1,Male,JS,68563,OMKAR SINGH,HINDUISM,7.9,MIR SARWAR ALI,SWA,M,nan,,,-67.75,-47.43,-92.1,
Uttar_Pradesh,1962,3,2,11,BAREILLY,48.1,32.7,General,386337,7,1,Male,JS,60771,BRIJRAJ SINGH,HINDUISM,6.11,SATISH CHANDRA,INC,M,nan,,,-67.3,-51.9,-93.89,
Uttar_Pradesh,1962,3,2,12,PILIBHIT,47.76,29.62,General,421503,5,1,Male,PSP,59624,MOHAN SWAROOP,HINDUISM,2.2,MAKUND LAL,INC,M,nan,,,-70.38,-52.24,-97.8,
