Assembly_No,Total_Candidates,No_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,No_Recontests,First_contests,Second_contests,Multiple_contests,No_first_time_winners,First_Contest_winners,Year,Party_ID,pty_Total_Candidates,pty_Incumbents,pty_Turncoats,pty_Recontests,pty_First_contests,pty_Second_contests,pty_Multiple_contests,pty_first_time_winners,pty_First_Contest_winners,pty_Successful_Incumbents,pty_Successful_Turncoats,Party,pty_recontests_pct,Color,pty_incm_recontests_pct,hover_pty_incm_recontests_pct,pty_incm_Strike_Rate,hover_pty_incm_Strike_Rate,pty_turn_Strike_Rate,hover_pty_turn_Strike_Rate,pty_fist_time_winners_pct,State_Name
17,319,12,4,25,9,2,22,289,15,15,19,18,2019,840,2,0,0,0,2,0,0,0,0,0,0,ANC,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Andhra_Pradesh
17,319,12,4,25,9,2,22,289,15,15,19,18,2019,880,1,0,0,0,1,0,0,0,0,0,0,APoI,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Andhra_Pradesh
17,319,12,4,25,9,2,22,289,15,15,19,18,2019,927,1,0,0,0,1,0,0,0,0,0,0,ARPS,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Andhra_Pradesh
17,319,12,4,25,9,2,22,289,15,15,19,18,2019,932,2,0,0,0,2,0,0,0,0,0,0,AYSRCP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Andhra_Pradesh
17,319,12,4,25,9,2,22,289,15,15,19,18,2019,816,1,0,0,0,1,0,0,0,0,0,0,AlPP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Andhra_Pradesh
17,319,12,4,25,9,2,22,289,15,15,19,18,2019,1060,1,0,0,0,1,0,0,0,0,0,0,BAHUMP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Andhra_Pradesh
17,319,12,4,25,9,2,22,289,15,15,19,18,2019,1031,1,0,0,0,1,0,0,0,0,0,0,BCUF,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Andhra_Pradesh
17,319,12,4,25,9,2,22,289,15,15,19,18,2019,1605,24,0,0,0,22,1,1,0,0,0,0,BJP,0,#ff9933,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Andhra_Pradesh
17,319,12,4,25,9,2,22,289,15,15,19,18,2019,16651,3,0,0,0,3,0,0,0,0,0,0,BSP,0,#003399,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Andhra_Pradesh
17,319,12,4,25,9,2,22,289,15,15,19,18,2019,2444,2,0,0,0,2,0,0,0,0,0,0,CPI,0,#ff3300,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Andhra_Pradesh
17,319,12,4,25,9,2,22,289,15,15,19,18,2019,2472,2,0,0,0,1,1,0,0,0,0,0,CPI(ML)(L),0,#9c6f73,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Andhra_Pradesh
17,319,12,4,25,9,2,22,289,15,15,19,18,2019,2560,1,0,0,0,1,0,0,0,0,0,0,CPIM,0,#cc434f,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Andhra_Pradesh
