Year,Assembly_No,Party,Total_Cand,Winners,Deposit_Lost,Avg_Winning_Margin,Strike_Rate,position
1984,8,JNP,219,10,132,0.31,4.57,16
1984,8,KEC(J),2,2,0,14.34,100.0,2
1984,8,LKD,173,3,77,0.21,1.73,18
1984,8,MUL,13,2,11,2.57,15.38,12
1984,8,PTC,3,1,2,0.75,33.33,10
1984,8,PWP,3,1,0,2.77,33.33,11
1984,8,RSP,4,3,0,3.16,75.0,5
1984,8,SAD,11,7,0,6.7,63.64,6
1984,8,TDP,34,30,0,12.94,88.24,3
1980,7,ADK,24,2,0,0.19,8.33,14
1980,7,CPI,47,10,17,2.02,21.28,10
1980,7,CPM,64,37,9,9.51,57.81,5
1980,7,DMK,16,16,0,13.31,100.0,1
1980,7,FBL,21,3,17,3.1,14.29,11
1980,7,INC(I),492,353,7,15.66,71.75,3
1980,7,INC(U),212,13,143,0.75,6.13,16
1980,7,IND,2826,9,2794,0.04,0.32,18
1980,7,JKD,22,1,21,0.44,4.55,17
1980,7,JKN,5,3,0,13.49,60.0,4
1980,7,JNP,433,31,116,0.54,7.16,15
1980,7,JNP(S),293,41,152,1.64,13.99,13
1980,7,KEC,2,1,0,0.7,50.0,6
1980,7,MAG,2,1,0,7.62,50.0,7
1980,7,MUL,5,2,3,4.14,40.0,9
1980,7,RSP,8,4,3,8.85,50.0,8
1980,7,SAD,7,1,0,0.17,14.29,12
1980,7,SJP,1,1,0,39.06,100.0,2
1977,6,ADK,21,18,0,23.73,85.71,6
1977,6,BLD,405,295,5,23.8,72.84,9
1977,6,CPI,91,7,68,0.72,7.69,18
1977,6,CPM,53,22,9,9.24,41.51,12
1977,6,DMK,19,2,0,1.73,10.53,17
1977,6,FBL,4,3,1,25.23,75.0,8
1977,6,INC,492,154,18,5.64,31.3,14
1977,6,IND,1224,9,1190,0.14,0.74,19
1977,6,JKN,3,2,0,19.51,66.67,10
1977,6,JKP,1,1,0,59.13,100.0,1
1977,6,KEC,2,2,0,12.47,100.0,2
1977,6,MAG,2,1,0,3.66,50.0,11
1977,6,MUL,6,2,4,8.4,33.33,13
1977,6,NCO,19,3,0,1.79,15.79,16
1977,6,PWP,6,5,0,10.68,83.33,7
1977,6,RPK,12,2,6,2.49,16.67,15
1977,6,RSP,4,4,0,20.28,100.0,3
1977,6,SAD,9,9,0,31.41,100.0,4
1977,6,UDF,1,1,0,3.36,100.0,5
1971,5,AHL,1,1,0,17.81,100.0,1
1971,5,BAC,14,1,12,0.13,7.14,17
1971,5,BJS,157,22,45,1.62,14.01,13
1971,5,BKD,97,1,68,0.11,1.03,25
1971,5,CPI,87,23,33,3.55,26.44,12
1971,5,CPM,85,25,31,2.94,29.41,10
1971,5,DMK,24,23,0,15.45,95.83,6
1971,5,FBL,24,2,19,0.83,8.33,16
1971,5,INC,441,352,4,23.53,79.82,7
1971,5,IND,1134,14,1066,0.28,1.23,24
1971,5,JKP,20,1,15,0.76,5.0,20
1971,5,KEC,3,3,0,16.82,100.0,2
1971,5,MUL,7,2,5,9.58,28.57,11
1971,5,NCO,238,16,114,0.95,6.72,18
1971,5,PSP,63,2,52,0.35,3.17,23
1971,5,RPG,1,1,0,50.74,100.0,3
1971,5,RSP,9,3,5,5.12,33.33,9
1971,5,SAD,15,1,3,0.1,6.67,19
1971,5,SSP,93,3,62,0.16,3.23,22
1971,5,SWA,59,8,18,2.04,13.56,14
1971,5,TPS,14,10,0,13.47,71.43,8
1971,5,UFN,1,1,0,20.94,100.0,4
1971,5,UGS,1,1,0,12.23,100.0,5
1971,5,UTC,20,1,6,0.04,5.0,21
1971,5,VHP,8,1,5,0.07,12.5,15
1967,4,ADS,8,3,1,6.75,37.5,8
1967,4,AHL,1,1,0,22.73,100.0,1
1967,4,BAC,7,5,1,18.72,71.43,5
1967,4,BJS,249,35,112,1.93,14.06,17
1967,4,CPI,109,23,41,1.82,21.1,13
1967,4,CPM,59,19,13,4.34,32.2,10
1967,4,DMK,26,25,1,13.92,96.15,4
1967,4,FBL,6,2,1,6.32,33.33,9
1967,4,INC,516,283,7,8.26,54.84,6
1967,4,IND,866,35,747,0.53,4.04,19
1967,4,JKD,5,1,4,2.18,20.0,14
1967,4,JKN,4,1,2,1.82,25.0,11
1967,4,MUL,2,2,0,29.5,100.0,2
1967,4,NNO,1,1,0,0,100.0,3
1967,4,PSP,109,13,75,1.63,11.93,18
1967,4,PWP,11,2,2,2.18,18.18,16
1967,4,RPI,70,1,42,0.02,1.43,20
1967,4,SSP,122,23,55,1.92,18.85,15
1967,4,SWA,178,44,87,3.6,24.72,12
1967,4,UGS,2,1,0,0.92,50.0,7
1962,3,AD,7,3,1,4.14,42.86,6
1962,3,CPI,137,29,26,2.01,21.17,13
1962,3,DMK,18,7,1,3.73,38.89,9
1962,3,FB,8,2,1,2.31,25.0,12
1962,3,GP,10,4,0,7.69,40.0,7
1962,3,HLC,1,1,0,23.66,100.0,1
1962,3,HLS,1,1,0,2.2,100.0,2
1962,3,HMS,39,1,32,0.12,2.56,21
1962,3,INC,488,361,3,12.69,73.98,3
1962,3,IND,479,20,378,0.55,4.18,20
1962,3,JP,11,3,3,4.83,27.27,11
1962,3,JS,196,14,114,0.43,7.14,15
1962,3,LSS,4,2,1,1.57,50.0,5
1962,3,ML,5,2,1,0.41,40.0,8
1962,3,NJP,3,1,1,2.82,33.33,10
1962,3,PSP,168,12,69,0.5,7.14,16
1962,3,REP,68,3,35,0.11,4.41,19
1962,3,RRP,40,2,33,0.35,5.0,18
1962,3,RSP,3,2,0,9.64,66.67,4
1962,3,SOC,107,6,75,0.2,5.61,17
1962,3,SWA,173,18,75,1.88,10.4,14
