State_Name,Year,Assembly_No,Constituency_No,Constituency_Name,Constituency_Type,Candidate,Party,Votes,Position,Vote_Share_Percentage,Last_Position,Last_Candidate,Position_Change,Vote_Share_Change_pct
Mizoram,2003,9,16,KHAWHAI,ST,K. L. LIANCHIA,MZPC,1271,3,20.97,1,K.L. LIANCHIA,-2,-17.19
Mizoram,2003,9,16,KHAWHAI,ST,R. LALCHHUANA,ZNP,1068,4,17.62,,,,17.62
Mizoram,2003,9,16,KHAWHAI,ST,T. LALTHANPUIA,JD(U),19,5,0.31,,,,0.31
Mizoram,2003,9,17,SAITUAL,ST,R. LALZIRLIANA,INC,2607,1,30.83,1,R. LALZIRLIANA,0,3.97
Mizoram,2003,9,17,SAITUAL,ST,F. AITHANGA,MNF,2267,2,26.81,3,J.H. RAMNGHINGLOVA,1,3.94
Mizoram,2003,9,17,SAITUAL,ST,H. THANGKIMA,MZPC,2066,3,24.44,2,K. BIAKCHUNGNUNGA,-1,-2.34
Mizoram,2003,9,17,SAITUAL,ST,RUALKHUMA HMAR,ZNP,1495,4,17.68,,,,17.68
Mizoram,2003,9,17,SAITUAL,ST,SAKHAWLIANA,JD(U),20,5,0.24,,,,0.24
Mizoram,2003,9,18,KHAWZAWL,ST,ANDREW LALHERLIANA,ZNP,3127,1,33.21,,,,33.21
Mizoram,2003,9,18,KHAWZAWL,ST,SANGHMINGTHANGA H. PAUTU,MNF,3107,2,33,1,AICHHINGA,-1,-13.61
Mizoram,2003,9,18,KHAWZAWL,ST,P. C. LALDINTHARA,INC,1866,3,19.82,3,VANLALNGAIA,0,-1.12
Mizoram,2003,9,19,NGOPA,ST,H. ROHLUNA,INC,3347,1,31.93,2,H. ZATHUANA,1,5.45
Mizoram,2003,9,19,NGOPA,ST,RUALCHHINA,MNF,2644,2,25.23,,,,25.23
Mizoram,2003,9,19,NGOPA,ST,CLEMENT LALREMA,MZPC,2433,3,23.21,1,P.B. ROSANGA,-2,-15.89
Mizoram,2003,9,19,NGOPA,ST,DALNGOVA,ZNP,1929,4,18.4,,,,18.4
Mizoram,2003,9,19,NGOPA,ST,BUANGTHANGPUII,JD(U),128,5,1.22,,,,1.22
Mizoram,2003,9,20,SUANGPUILAWN,ST,H. LALSANGZUALA,HPC,2195,1,72.83,,,,72.83
Mizoram,2003,9,20,SUANGPUILAWN,ST,VANINMAWIA,MNF,352,2,11.68,,,,11.68
Mizoram,2003,9,20,SUANGPUILAWN,ST,DR NGURDINGLIANA,INC,221,3,7.33,2,VANLALNGENA,-1,-17.47
Mizoram,2003,9,20,SUANGPUILAWN,ST,H. LALTANPUIA,MZPC,194,4,6.44,1,H. LALTANPUIA,-3,-28.41
Mizoram,2003,9,20,SUANGPUILAWN,ST,C. RAMKINLOVA,JD(U),45,5,1.49,,,,1.49
Mizoram,2003,9,20,SUANGPUILAWN,ST,A. SIAMA,CPI,7,6,0.23,,,,0.23
Mizoram,2003,9,21,RATU,ST,LALDUHAWMA,ZNP,3745,1,35.93,,,,35.93
Mizoram,2003,9,21,RATU,ST,LALTHANKUNGA,MNF,3509,2,33.66,1,LALTHANKUNGA,-1,-9.72
Mizoram,2003,9,21,RATU,ST,P. VANLALVUANA,INC,3105,3,29.79,2,LALBIAKZUALA,-1,-2.67
Mizoram,2003,9,21,RATU,ST,TLANGDINGLIANA,EU,40,4,0.38,,,,0.38
Mizoram,2003,9,21,RATU,ST,C. LALROCHUNGA,JD(U),25,5,0.24,,,,0.24
Mizoram,2003,9,22,KAWNPUI,ST,SAILOTHANGA SAILO,MZPC,4163,1,39.17,3,HMINGDAILOUA,2,19.83
Mizoram,2003,9,22,KAWNPUI,ST,F. MALSAWMA,MNF,3605,2,33.92,1,SANGHMINGTHANGA PAUTU,-1,1.56
Mizoram,2003,9,22,KAWNPUI,ST,R. THANGLIANA,INC,2812,3,26.46,2,R.L. VALLA,-1,-5.13
Mizoram,2003,9,22,KAWNPUI,ST,ZOKHAWLIANA,JD(U),47,4,0.44,,,,0.44
Mizoram,2003,9,23,KOLASIB,ST,ZORAMTHANGA,MNF,3702,1,34.12,1,RUALCHHINA,0,-4.64
Mizoram,2003,9,23,KOLASIB,ST,C. LALBIAKTHANGA,MZPC,3610,2,33.27,3,HRANGDAILOVA,1,8.68
Mizoram,2003,9,23,KOLASIB,ST,P. C. ZORAMSANGLIANA,INC,3473,3,32.01,2,LALTHANZARA,-1,2.73
Mizoram,2003,9,23,KOLASIB,ST,F. THANGKIMA,JD(U),64,4,0.59,,,,0.59
Mizoram,2003,9,24,BILKHAWTHLIR,ST,LALCHAMLIANA,MNF,3191,1,37.27,1,LALCHAMLIANA,0,-5.32
Mizoram,2003,9,24,BILKHAWTHLIR,ST,H. L. HLUNA,ZNP,2931,2,34.24,,,,34.24
Mizoram,2003,9,24,BILKHAWTHLIR,ST,ZOTHANKIMI,INC,2355,3,27.51,2,VAIVENGA,-1,0.06
Mizoram,2003,9,24,BILKHAWTHLIR,ST,H. B. THANKHUMA,JD(U),84,4,0.98,,,,0.98
Mizoram,2003,9,25,LOKICHERRA,ST,TAWNLUIA,MNF,2472,1,41.12,1,TAWNLUIA,0,-2.97
Mizoram,2003,9,25,LOKICHERRA,ST,H. LALENVELA,INC,2189,2,36.42,2,T.C. PACHHUNGA,0,10.97
