State_Name,Year,Assembly_No,Party,Total_Seats_in_Assembly,Total_Votes_in_Assembly,Total_Votes_in_Contested_Seats,Total_Candidates,Winners,Deposits_Lost,Strike_Rate,Seat_Share,Vote_Share_in_Assembly,Vote_Share_in_Contested_Seats,position,Expanded_Party_Name
Telangana,2018,2,TLIP,119,20695458,1587742,9,0,9,0.0,0,0.08,1,83,
Telangana,2018,2,TMOR,119,20695458,141839,1,0,1,0.0,0,0,0.15,84,
Telangana,2018,2,TPGS,119,20695458,309388,2,0,2,0.0,0,0,0.08,85,
Telangana,2018,2,TPJP,119,20695458,3354948,18,0,18,0.0,0,0.02,0.14,86,
Telangana,2018,2,TPS(KRaK),119,20695458,647392,4,0,4,0.0,0,0.01,0.22,87,
Telangana,2018,2,TRS,119,20695458,20695458,119,88,7,73.94957983193277,73.95,46.87,46.87,1,TELANGANA RASHTRA SAMITHI
Telangana,2018,2,TYS,119,20695458,144770,1,0,1,0.0,0,0,0.14,88,
Telangana,2018,2,WPOI,119,20695458,136911,1,0,1,0.0,0,0,0.06,89,
Telangana,2018,2,YP,119,20695458,279209,2,0,2,0.0,0,0,0.08,90,
Telangana,2018,2,YSRPP,119,20695458,202230,1,0,1,0.0,0,0,0.26,91,
Telangana,2018,2,YTP,119,20695458,173231,1,0,1,0.0,0,0.06,7.75,92,
Telangana,2018,2,rpsn,119,20695458,183832,1,0,1,0.0,0,0,0.14,93,
Telangana,2014,1,AAAP,119,19448279,10204938,61,0,61,0.0,0,0.23,0.43,11,
Telangana,2014,1,ABJS,119,19448279,527668,3,0,3,0.0,0,0,0.12,12,
Telangana,2014,1,AHNP,119,19448279,230823,1,0,1,0.0,0,0,0.09,13,
Telangana,2014,1,AIACP,119,19448279,136209,1,0,1,0.0,0,0,0.44,14,
Telangana,2014,1,AIFB,119,19448279,1684164,11,0,10,0.0,0,0.19,2.21,15,ALL INDIA FORWARD BLOC
Telangana,2014,1,AIMIM,119,19448279,3482287,20,7,10,35.0,5.88,3.74,20.87,4,ALL INDIA MAJLIS-E-ITTEHADUL MUSLIMEEN
Telangana,2014,1,ANC,119,19448279,1505911,7,0,7,0.0,0,0.04,0.57,16,
Telangana,2014,1,APRSSP,119,19448279,468531,2,0,2,0.0,0,0,0.05,17,
Telangana,2014,1,BCUF,119,19448279,1888423,12,0,12,0.0,0,0.03,0.27,18,
Telangana,2014,1,BJP,119,19448279,7140102,45,5,24,11.11111111111111,4.2,7.03,19.16,5,BHARATIYA JANATA PARTY
Telangana,2014,1,BMUP,119,19448279,1003666,6,0,6,0.0,0,0.01,0.16,19,
