State_Name,Assembly_No,Year,month,Constituency_No,Constituency_Name,Turnout_Percentage,Vote_Share_Percentage,Constituency_Type,Electors,N_Cand,Position,Sex,Party,Votes,Elected,Margin_Percentage,Runner,Runner_Party,Runner_Sex,Nota_Percentage,Last_Party,Last_Elected,Vote_Share_Change_pct,Turnout_Change_pct,Margin_Change_pct,Party_Change
Madras,4,1967,2,48,KALASAPAKKAM,68.61,51.37,General,92766,3,1,Male,INC,32697,S. MURUGIAN,19.08,M. SUNDARASAN,DMK,M,nan,DMK,BALKRISHNA A. G.,-0.33,26.28,15.68,INC
Madras,4,1967,2,49,TIRUVANNAMALAI,81.71,49.39,General,94545,3,1,Male,INC,38153,D. VIJAYARAJ,4.12,P. U. SHANMUGAM,DMK,M,nan,INC,K. M. KRISHNA KOUNDER,-5.49,13.22,-5.64,
Madras,4,1967,2,50,MELMALAYANUR,70.95,50.68,General,92089,5,1,Male,DMK,33115,R. R. MUNUSAMY,24.21,K. G. GOUNDER,INC,M,nan,DMK,M. SHANMUGAM,-8.68,1.24,3.68,
Madras,4,1967,2,51,GINGEE,74.89,55.59,General,94916,6,1,Male,DMK,39517,V. MUNUSAMI,16.34,G. RAJARAM,INC,M,nan,SWA,MANONMANI,7.43,18.29,11.36,DMK
Madras,4,1967,2,52,TINDIVANAM,73.71,51.59,General,89697,2,1,Male,INC,34106,K. RAMAMOORTHY,3.17,A. THANGAVELU,DMK,M,nan,DMK,V. KRISHNAMURTHY KOWNDER,-4.55,4.12,-10.98,INC
Madras,4,1967,2,53,VANUR,67.77,50.06,SC,88494,2,1,Male,DMK,30023,BALAKRISHNAN,0.12,VELAYUDHAM,INC,M,nan,DMK,RAJANGAM,-6.42,7.85,-17.77,
Madras,4,1967,2,54,KANDAMANGALAM,73.09,55.83,SC,87283,2,1,Male,DMK,35617,M. RAMAN,11.66,M. S. SARASWATHI,INC,M,nan,INC,P. R. SEENUVASA PADAYACHI,15.11,5.05,2.18,DMK
Madras,4,1967,2,55,VILLUPURAM,74.25,53.73,General,94260,3,1,Male,DMK,37605,M. SHANMUGAM,8.47,V. P. S. GOUNDER,INC,M,nan,INC,RAMACHANDRA RAYAR,10.18,5.94,6.29,DMK
Madras,4,1967,2,56,NELLIKUPPAM,70.64,47.24,General,84171,5,1,Male,CPM,28090,C. GOVINDARAJAN,8.36,A. LAKSHMINARAYANAN,INC,M,nan,INC,S. SIVASUBRAMANIAN,-6.1,1,-6.96,CPM
Madras,4,1967,2,57,CUDDALORE,73.05,55.09,General,87210,3,1,Male,DMK,35093,E. RE. ELAMVAZHUTHI,11.38,P. R. S. PADAYACHI,INC,M,nan,DMK,M. R. KRISHNAMOORTHI,7.95,-1.82,11.2,
Madras,4,1967,2,58,PANRUTI,67.51,60.82,General,106540,2,1,Male,DMK,43745,S. RAMACHANDRAN,21.64,V. V. PADAYACHI,INC,M,nan,INC,G. BOOVARAGHAN,16.4,0.01,18.59,DMK
Madras,4,1967,2,59,KURINJIPADI,62.57,54.5,SC,74712,4,1,Male,DMK,25478,N. RAJANGAM,15.51,M. JAYARAMAN,INC,M,nan,INC,K. NARAYANASAMI,-0.53,4.43,-0.25,DMK
Madras,4,1967,2,60,BHUVANAGIRI,73.72,56.28,General,93496,3,1,Male,DMK,38795,A. GOVINDARASAN,15.32,D. RAMACHANDRAN,INC,M,nan,INC,LAKSHIMINARASIMMA AMMAL,5.02,13.55,-9.01,DMK
Madras,4,1967,2,61,KATTUMANNARKOIL,79.36,48.34,SC,79560,5,1,Male,INC,30521,S. SIVASUBRAMANIAN,0.21,C. GOVINDARASU,DMK,M,nan,INC,L. ANANDAN,-10.48,30.3,-17.43,
Madras,4,1967,2,62,CHIDAMBARAM,78.38,49.18,General,90560,4,1,Male,INC,34911,R. K. PILLAI,2.19,P. PONCHOCKALINGAM,DMK,M,nan,DMK,T. CHINNASAMY,0.42,22.01,-9.95,INC
Madras,4,1967,2,63,VRIDHACHALAM,80.54,54.77,General,95725,4,1,Male,INC,42230,G. BHUVARAGHAN,11.5,M. SELVARAJ,DMK,M,nan,INC,K. PARTHASARATHI,2.06,18.97,6.09,
Madras,4,1967,2,64,MANGALUR,67.3,56.67,SC,90557,7,1,Male,DMK,34538,A. KRISHNAN,21.12,P. VEDAMANICKAM,INC,M,nan,DMK,C. MANICKAM,15.34,8.52,14.25,
Madras,4,1967,2,65,LUNDURPET,68.68,47.23,General,82609,3,1,Male,INC,26796,M. K. PADAYATCHI,2.75,V. S. PADAYACHI,DMK,M,nan,DMK,M. KAMALANATHAN,-11.15,4.17,-19.1,INC
